"filename", "language", "JSON", "HTML", "C#", "XML", "TypeScript", "Database", "TypeScript JSX", "CSS", "JavaScript", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/shared/components/AppPagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 4, 30
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/shared/components/CheckboxButtons.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 6, 40
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/shared/components/OrderSummary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 2, 9, 98
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/shared/components/RadioButtonGroup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 29
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/store/store.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/types/basket.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/types/pagination.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/types/product.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/app/types/productParams.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/assets/react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/about/AboutPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 45
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/about/errorApi.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/basket/BasketItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 9, 86
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/basket/BasketPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/basket/basketApi.ts", "TypeScript", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 5, 74
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/catalog/CatalogPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 42
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/catalog/Filters.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/catalog/ProductCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 3, 49
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/catalog/ProductDetails.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 8, 96
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/catalog/Search.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/catalog/catalogApi.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/catalog/catalogSlice.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 4, 53
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/checkout/CheckoutPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/contact/ContactPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/contact/counterSlice.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/features/home/HomePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/lib/util.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 23
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/tsconfig.app.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/tsconfig.node.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"/Users/neilc/Projects/RestoreCourse/2024/practice2/Restore/client/vite.config.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 2, 12
"Total", "-", 4504, 13, 1145, 16, 380, 58, 809, 0, 27, 7, 40, 28, 410, 7437
